10R	ABV	1%	0603
12R	ABV	1%	0603
15R	ABV	1%	0603
20R	ABV	1%	0603
22R	ABV	1%	0603
27R	ABV	1%	0603
30R	ABV	1%	0603
33R	ABV	1%	0603
39R	ABV	1%	0603
47R	ABV	1%	0603
51R	ABV	1%	0603
56R	ABV	1%	0603
68R	ABV	1%	0603
75R	ABV	1%	0603
82R	ABV	1%	0603
91R	ABV	1%	0603
100R	ABV	1%	0603
120R	ABV	1%	0603
150R	ABV	1%	0603
200R	ABV	1%	0603
220R	ABV	1%	0603
270R	ABV	1%	0603
300R	ABV	1%	0603
330R	ABV	1%	0603
390R	ABV	1%	0603
470R	ABV	1%	0603
510R	ABV	1%	0603
560R	ABV	1%	0603
680R	ABV	1%	0603
750R	ABV	1%	0603
820R	ABV	1%	0603
910R	ABV	1%	0603
1K	ABV	1%	0603
1K2	ABV	1%	0603
1K5	ABV	1%	0603
2K	ABV	1%	0603
2K2	ABV	1%	0603
2K7	ABV	1%	0603
3K	ABV	1%	0603
3K3	ABV	1%	0603
3K9	ABV	1%	0603
4K7	ABV	1%	0603
5K1	ABV	1%	0603
5K6	ABV	1%	0603
6K8	ABV	1%	0603
7K5	ABV	1%	0603
8K2	ABV	1%	0603
9K1	ABV	1%	0603
10K	ABV	1%	0603
12K	ABV	1%	0603
15K	ABV	1%	0603
20K	ABV	1%	0603
22K	ABV	1%	0603
27K	ABV	1%	0603
30K	ABV	1%	0603
33K	ABV	1%	0603
39K	ABV	1%	0603
47K	ABV	1%	0603
51K	ABV	1%	0603
56K	ABV	1%	0603
68K	ABV	1%	0603
75K	ABV	1%	0603
82K	ABV	1%	0603
91K	ABV	1%	0603
100K	ABV	1%	0603
120K	ABV	1%	0603
150K	ABV	1%	0603
200K	ABV	1%	0603
220K	ABV	1%	0603
270K	ABV	1%	0603
300K	ABV	1%	0603
330K	ABV	1%	0603
390K	ABV	1%	0603
470K	ABV	1%	0603
510K	ABV	1%	0603
560K	ABV	1%	0603
680K	ABV	1%	0603
750K	ABV	1%	0603
820K	ABV	1%	0603
910K	ABV	1%	0603
